DATE,SMPOPNETMRUS
1962-01-01,-1387844.0
1967-01-01,-549722.0
1972-01-01,-296861.0
1977-01-01,614394.0
1982-01-01,1100559.0
1987-01-01,890253.0
1992-01-01,2490121.0
1997-01-01,2374657.0
2002-01-01,1778101.0
2007-01-01,2326672.0
2012-01-01,1800600.0
2017-01-01,912279.0
